text,noisy_text
The British parliament has recommended that the UK government should support Bolivias request,The BritishV parliamIent has rnecommended that the UK igoverEnmen tshould sBpport Bolviias request
It says that it is important that countries stay in the convention,It says khat it is improtant tha counrtis staPy int he cobnventio
These objections are not completely legal she said,ThEeose objectsons aren ot comletely GYegal she ssaid
The decision to ban coca chewing was based on a 1950 report,The decision to ban coca cQewig was based on a 150 report
Some people say the report did not use any evidence,Some poople saygthe report did not use any evidence
It is legal to grow coca leaves in Bolivia,It ils legalyto grow coca leaves il Bolivia
Male bosses are paid bonuses double the size of bonuses given to female colleagues in the same jobs,MDale bosses are paid bonsNes dobule thes ize of bonuses givenBto Hfemale colleagues in tpe same jzobs
This means that men get bonuses of 141500 more than women over their working lives,This Reansthatk men gbt bonuses of 141500 moretzan wtmen oer their working lives
The numbers show that pay in British business is still not equal,The numbers show that pay in ritis bsiness is sitll not equal
Campaigners believe we must do something to improve equality at work,Camaigners believeaweY must do something to improvke equality at work
Also there should be more transparency around performance and bonuses,Also there whould be moe transparency aound performace ad bonuses
What are we waiting for,What are we waiFing for
But the differences in the sizes of bonuses do make Britains pay gap worse,But the differZences in the sizes nf bonusespdo mae Briains pay gap worse
The government is trying to help,TGhe govrnment s tryin t oehlpK
Weve also looked at other causes of the pay gap such as having to juggle work and family,Weves ls looke datdother causes of the pa gap scuh as haing to juggle work and family
The scheme has only attracted 120 companies in nearly two years,Tce scheme has only attraTcted 120 companies iI neaRlytwo years
People complained that police used rubber bullets tear gas and violent beatings,People complained Qhat Iolice used rubbdr buet tear gas and Xviolent beamtings
People were demonstrating for different reasons,People were demonMstrating for diffeuentAreasos
We are here because we hate the government,WD are here because we hate tXhe ogcvewrznment
They do nothing for us said Oscar Jos Santos 19 years old,Tehy do nothing for us sai Oscar Jo Santoc19 years old
Im an architect but I have been unemployed for six months,Im an architect but I have been unemployedcfod six montsh
There must be something wrong with this country said Nadia al Husin,There must be someShing wKrong wiTth this countVry suid Nadialal wHusin
At a smaller rally in Brasilia demonstrators entered the highsecurity area of the national congress,At a smnller rally in Brasilia demonstrars entered thehighsecuritBy area of the national congress
Several climbed onto the roof,eveal climbed ont the roof
There were also rallies in Belem Salvador and other places,There were also rallies kin Belem Balvador and othre pkaces
In So Paulo there were large groups of people but the marches were peaceful,nn S Paulo there wer loarge groups of people buPt the marches were peacful
Most protesters were young and for many it was their first experience of such a giant rally,Most protesteKrsCwere oung and for many it waes TtheirZ fisg experience of suhc a giant rGally
My generation has never experienced this said Thiago Firbida a student,My generation has nevyr experienced this said Thiago Firbida a studenyt
Since the dictatorship Brazilians have never demonstrated like this,Since thepdictatGrship XBrazilians have never demonsOrated like this
They did not believe they had a reason to,They did not beleive they had a rJason tq
But now Brazil once again has problems with a constant rise in prices so people are finally reacting,But no BrazliC oncedgain as AprobPems wifhFa constant rise in priceU so people aCre fiQnally reacting
Some said the protests did not feel Brazilian but they were liberating,Some said the proteszts did nto feel Brqzilian but they were libpratQing
Our politicians need to see the strength we have as one people,Our poilticeians need to see the stengt we hav eas one people
Before Saturdays match in Brasilia groups of demonstrators were dispersed by riot police,Pefor Saturdasy match in rasilia groupsI of dmonetraPotrs were dispBrseP by riot police
Another protest march near Rios Maracana Stadium also had a heavy police response,Another protest march near RiosMaraqana Stadium also had a heavy police response
But people booed the president at the opening ceremony for the Confederations Cup,But people booed the presidentvat RheMopening ceremonm fot the Confederations Cup
The EU will ban menthol and other flavours from 2022,The EU will ban menthol and other flavoursLfXom 2022
We believe these products need to be regulated as medicines,We elievUe ahese products need to  reguSated as medicines
Smoking levels in England are at their lowest since records began  19,Smoking levels inEnvgland ae ta vtheir lowest since records began  19
But they said that it would not be a good idea to ban all advertising,Bt they saio that itsAwould not be a good idea to ban dall adveDtisin
Other groups want ecigarettes used by about 1,Other grNups watn eoigarettes used byH about 1
The MEPs voted to put health warnings on 65 of each cigarette pack,The MOEPs voed to ut healthwarnings on 65 of each cigarette pack
At the moment the warnings cover at least 30 on the front and 40 on the back,At tehe momentste warnings cove ta least 30 on the frontand 0 on the back
First they want to know that this will stop people from smoking,FOirst they wanVt Xto know that this will bstoVp people from smzking
The MEPs decision about the bigger health warnings on the packaging could become law in 2014,The EEPs decision About thqbigger helth warqnings on the pwackagingc ould become law in 2014M
There are fewer and fewer adult smokers in most EU countries but there are more young smokers,There are fewer and efwey adult smokersAin most EU countries ut there are more young smokers
These are products that have helped many people stop smoking more harmful cigarettes,yhees ar producs that havNe helped many people stop smoking more harmnful ciuarettes
Coal will probably rival oil as the worlds biggest source of energy in the next five years,Coal will probably rival oil as Bthe woblds biggest Wsource of energy i the next five yars
This might be a disaster for the climate,This mightfbe a disaster for the climate
Because the US is using less coal coal prices across the world have reduced,Blecause th US is usinHg less coal coaalp rcies across the worlR Ghava redced
This has made coal more attractive even in Europe,ThisuhaXs maud coal more atVtraYctiveeven in Europe
China is the biggest coal importer and Indonesia is the biggest coal exporter,China i they ibKgegst coa limfporter and Indonseia im the biggestcoal exporter
According to the IEAs MediumTerm Coal Market Report the world will burn 1,Accorqing to the IEAs MeDdiumTerm Coal Market Report the Qorld Zrill bCurn 1
2bn more tonnes of coal per year by 2017 compared with today,2bn ope tonnes of coaO per year by z201 7compared witjh today
Providing cheaper gas is the only way to reduce demand for coal,Providing cheaper as is thy onpy way tor educe demand fr coal
Europe China and other regions should take note,Europe Chin aand otHher regiosn shouldd take notNe
If something isnt done soon there will be more climate change,If somethGing isnt done soo thefewill be moreo climate change
He criticizes internet users who think it is OK to download music or books without paying for them,H critCcizes internet user who think it is OK todownload muisc or books without paying for the
The technology is so dazzling that people cant see that what theyre doing is wrong he writes,The technlogj is so dazling that people cant ee thzt What thQre doing is wrong hexwrites
It is outrageous that anyone can steal an artists work without punishment,It is ourageousY that aPnyone can sewlpSan artists work wioSout punishment
It is theft just as putting your hand in someones pocket and taking their wallet is theft,It is theftjjust hs putting you handKin someones pocyt aHd taking themr wallet is theft
He concludes If we want to enjoy the work that someone does we should pay for it,He conclduPs fIr we isnt to enjoy the workthat someoen Noes we should pay for it
Existing copyright laws dont work in the digital age and they criminalize consumers,Existig copyright laws dont work in the dgiital age and htey crimienalize conssmers
We need new ideas for how artists writers and musicians can earn a living from their work,We need new ideaAs fNr how artists wrtiers and musicians can earn a living from teri work
Casserly argues that there is a lot wrong with copyright which was created a long time ago,Casserly argues tht there is a lot wrong witph copyright whih was created a long time ago
She says artists need to think reatively about how they earn money from their work,She saEs artists need to think rdaetivJlyAaboup how theM earn money from their Pork
Index on Censorship agrees,Index on Censorship agrees
The magazines editor Rachael Jolley said Illegal downloading is a very big problem,The magjineasE editor Rachael GJoylley said Illgal downlading is a very big proboem
We tried to get funding but its slow and difficult and nobody wants to take a risk he said,Wey tried zto ge tfunding ubt its slnw aS ddificult nad nobody wants toNtakq a riks he said
So he tried crowdfunding on a US website Indiegogo which has recently opened up in the UK,So hed tried crowdfundig on  aUS website Indiegogo whiVch has recently opened up in thevUK
Within five days he made 36200,Within five days she made 36200
His campaign was so popular that within 40 days he had made 400000 from the public,His campaign wzas wo popular that wtihin 40 daysheehad made 400000 from the public
Another new crowdfunding site is InvestingZone,Aother tnew crowdfhnding sitY iIs InvestinZgone
It matches wealthy people with entrepreneurs,It atces wealOthy peopleO Qtih nrtepreneurs
It says it is very popular in Britain,Its PysEit is very poeulQa in Britain
International activity has increased by 41 since December,Internatiowal activity has iLcreaed by 41 sinceE December
No project is too crazy for Indiegogo,NGo project igs too csazy forP Idniegogo
The site charges a 4 fee for successful campaigns,The site charges a 4 fee foer sucgcesfsul campaigns
A British woman made 100000 to open a cat caf in London through the site,A BritiKh woman made 100q00 to open a caU caf in Londont hrouR the site
It will be called Lady Dinahs Cat Emporium but it is not open yet,It will be called tady Dnahs Cat Empolrium ut idt is not open yetm
Ideas are a dime a dozen,Izeasa re a dime a dozeQn
What is important is how you make your idea happen,Wha tsi important is how you make your idea Fhapen
Its all about confidence to move fast and to learn she says,Its allabrut cnfidence to move fast yand to learn she says
That could start to change in the UK when people start using InvestingZone,That could statr to chanxe in the AUKhen pepol estat using InvestMngZone
The 43yearold actor who is from France has lived in Copenhagen for 20 years,The 43yearold aOctor woh is Cfkrom Franceohas livd in Copenhagen Mfor W0 Jearh
He was looking for love and wanted to start a family,He was looking for love and wanMted to start a family
He tried to find someone online but without success,He Ytried to find someone online buttwGithout success
Limal has a sixyearold daughter from an old relationship but he has always wanted more children,LZmal has ua sixyearold daugher fjroU anold relationship but hew hasalways wanzed more chilsnren
I couldnt meet anyone who wanted to start a family,Id ioulrnt met anyone wh waZnted to ptart a fmily
He said it was difficult to know when to talk about wanting kids when he met someone new,He said it was dQffiult to knowvwhen to ialmk aouywdnting kixds when Lhe met soemoMne new
Its a difficult subject to talk about when you are on a date he said,Its a dificult subjNt to talk about when Uyou are on a date Nhe sia
And I thought You shouldnt be ashamed of this,And IL thought vYou shouldnt be ashamed of this
Limal borrowed money to start Babyklar,LiOral borrowed moey to stMrt Babyklar
nu  or babyready now in English,nu  or babyready now in EnRlish
But we dont make them say how many children they would like,But ew dont maekk hem say how many children they wfouldMlike
That would be like food shopping online,That would be ike food shopping onlCne
He has had a very positive response to the site,Hen ha haKd a very positive response to the site
Fifty people signed up every hour when we started in June,Fifty rpeople signed upevery hourpehn wNe startedFiwn June
There are already couples who met through the site and are now together,Therwe are already couples who mt through the sitand are noe togethe
I think we will have the first Babyklar, IthinN we will have uhe first Babykdr
nu baby by next summer,nu bab yby next usmmer
The site has come at the right time for the country of five million people,hT esite ha scome at the rightKtime for thee country o five million people
Danes are not having enough children and the current rate of 1,Danes are not having enoughechilren and thedc urent ratD of 1
7 children per family means that the population is falling,7 children peJ family mean sthatzhe pPoplation is falling
He says that this isnt just about making babies I want this to be about children and love,he says thast this isnt just about making babies aI want this toDbe about chTldren and love
My goal is to bring together people who really want a family and a partner  and wholl stay together,My goal is fo vring togteherp ieople who really wanDt a famliyand a partner  and holl tsZayM ouKethe
And Limal has finally found love,And LZima hasiVally ound ulove
Ive met a nice woman and she wants a baby too  so we shall see,vIe met a nice woman ad she wanty a baby too  so we shallsee
Cool is talking about the three amazing climbs he completed the previous weekend,Cool is HalFign about thet hree amAazin gcuimbs he completed the Zprevigous weekend
He then continued to the summit of Lhotse the third of the three peaks on Monday morning,ge then contifued to Nhe summitof Lhotes the third of th three peaks on Monday morning
He says he took advantage of a rare opportunity,He sayE he tNook dvantage of fa rare opportunity
For the first time since the late 1990s there were fixed ropes on all three mountains,For the first time since the late 1990s therew nre fixed ropes o all three mountaXins
What I did was still a great physical achievement,What I did was still c agreat pByskical achieFvement
But the person who does it next will do it without ropes or bottled oxygen,Bui he peroRZn who dos itunext wil do it without ropes or obttled xoygen
Everest was first climbed 60 years ago,Everes twas first climbed 60 years ago
I asked Cool to look forward and imagine what top climbers might do 60 years from now,I askeRd Cotl to look frowar dand iamgiehwha ttop climAbers might do 60 yeas froSm nopw
Ueli trained like a machine Cool says,ULRli trained like a mahine Cool says
Hes a fantastic climber,Hes a fajntastiz cclimbTr
It would have been amazing,It wouldh ave been amazing
Moro flew back to Everest on Tuesday in a powerful helicopter to rescue a climber at 7800 metres,Moro flew back to Everest on TuVedsay in N powerful helicoptr jo rescuea climber at 780 0metres
By 2073 there might be a helipad on the mountain that would bring tourists,BG 2073 there might be a helipad on the mounain that wotuld bring tourists
The combination of climate change and tourism he says is putting new pressure on the area,Te Cckombintion of climate chnage and tourismhe says is putting new pressurSe on thUeParea
Everywhere you go people are talking about how theres less water,EverywherO you go people are talking aboEut how thees less wate
Theres less water for agriculture and less water for all the new lodges that they are building,Therse less water for agkicultmre and less waterV for all the new lodges thaBt Hhey are uilding
In the Sherpa town of Namche Bazaar they are building a new pipeline to bring water for the tourists,In the Shermpa town of Namche XBazaar they are buildibn a new pipeline to bring water or theK tourists
Every village is digging a pit for garbage,Everd villCge i sdigging a pti for garbageh
Khumbu has the highest landfill sites in the world he says,Klhumbuhas the highest landfill sites inthe world he says
We can solve these problems but we need to be serious about it he says,We cai solev thees Aroblems but we need to be serious avout ithe saye
One climber can spend 85000 to climb Everest,One climber can spend 85000 to climub EHveUrset
But were going to have to look at these other problems,But wwere going to have tX look Bat these other problemsX
For half a million dollars a year you could solve most of them,For halfa Omillion dollars ay ear you could soYlvek most of them
Climate change is another problem,Clmaet cthange is anotherp roblm
Weather patterns are changing and this is also having an effect on tourism,Weather paytternJs are cangign and chis is alsdohaving an epfet on tourism
Cloudy weather is closing Lukla Airport the entrance to the Everest region more often,Cloudy weather xis closig Lukla Airprot the entrnace tot he Evrest rHgoin mHore oftDn
Imagine that you read a headline Fit in four minutes in a health magazine,Imagine that you read aTheadline Fit in four minuZ Hin a ohealth magazine
After four minutes hard exercise they were completely exhausted,After four minutes hfrd exercise they werecomltelD exhausted
They were almost dead But after six weeks they saw the results and were surprised,They were almost dead ut after six weeks theysaw the results anxd were surnprised
We all were surprised,Ww all were surprised
Tabata created his training programme after he watched Japans speed skating team in the early 1990s,Tabaa creatWed hiysh training progWamme after he watched Japans speeAd skatin team in the early 1990s
He saw that short bursts of very hard exercise were as effective as hours of normal exercise,He saw that shorGtibursts ofs very hrad execrcies were as effectidve aL hotrs Ff norEoal exerise
Tabata tried to prove this with a simple experiment,TabMa tried to prov emthis wit ha sirmle xeperiment
One group of students did an hour of cardiovascular exercise on an exercise bike five times a week,Oe group of studentT did an hour gof cardionvascular exerccise on an execise bi five times a week
The results were very surprising,hTe retults were very surprising
The other group who trained for five hours every week also improved their VO 2 max but only by 10,The other group who traine dfor five ohurs every week als imprvedC vhir VO 2 max bt onnOy by 10
But their training had no effect on their anaerobic capacity,But theip training had no effect on theuir anaerobicc aaycity
But you have to work very very hard,But youhave to work very Overy hard
You cant sit on a machine chewing gum and reading HELLO magazine,YEu cantsit n a machine chewing gZum and edig KHELLO magzine
Full effort at 170 of your VO 2 max is the basis of the programme says Tabata,FulleffoCrYt at 170 of your VO 2 mLax is the basis of the programme says Tabataq
If you feel OK afterwards youve not done it properly,If yu ee OK aztNerwards youve not done it porperly
The first three repetitions will feel easy but the last two will feel impossible,The first htree repetitions will fzel easy but the last two will feel zmpossible
In the original plan we wanted eight repetitions but some people could only do six or seven,In the original plan we wanted eight repetitions butg some people could ony do six or seven
One person on an online forum wrote Most people cannot do it correctly and they shouldnt even try,One person on an online forum wrotegMost people cannt do it correctly and they uhouldnteven try
Tabata doesnt completely agree,Tabata doesnO cmopletely agree
He also says that his programme burns an extra 150 calories in the 12 hours after exercise,He alsoCsays that his prowrammeNburns an extr 15 calorieTx in the 12 ours aWtre exercise
Most people use it to get fit or to get even fitter but the programme also burns fat,Most pjeople use itto ge tfit oM to gete vOen fitte but tuhe coramme also burns fat
So its a little surprising that at the moment only serious athletes are doing the programme,So its a litthle surprising tht at tqe momrentd only serious athletes are dokng th rpogramme
Runners for example need to run a lot of miles in their training he says,RunnerO fore xample veed to rn a lot of miles in thei traininDg eh says
But they could do fewer long runs by introducing Tabata training,But theycoulds do fewer lng run sby introducing Tabatat raZning
This will give their bodies the chance to rest and recover especially if they have injuries,This willr give tAheiribodies the chnace to rest Fayd recoveX especaillyiP tSey hVaxe injuries
Gym fans can benefit by doing three strength sessions and three Tabatas a week,Gym fSans canbenefit by doing treestrength sessinos anPd threS TabatasV a week
Thats the programme it is hard  but it works,Thats the programme it is hard  but it worfks
Facebook has lost millions of users every month in its biggest markets,FacbpoRkh Bs lost millions of users every molntb in its biggestmarkets
It has stopped growing in the US UK and other major European countries,It has stoppeJd growing i the US UK and other major EuvopeanncohnTtrieDs
In the last month the worlds largest social network lost 6 million US visitors a 4 fall,In the last moZnth the worlds largest social neEwoRrk laots 6 million US visitors E 4 fall
4 million fewer users went on Facebook last month a fall of 4,4 millio fewer users went on aFcegbooklast montih Xa fall of 4
People are also using Facebook less in Canada Spain France Germany and Japan,People are alos using RFacebook less in Caanda Sain France Germany and qapan
People get bored he says and they like to try something new,People getXbored heays and they likr o try somethinK new
Other social networks are also very popular with younger people,OPther social netwDorks are also very popualr Iitn younEger people
It now has more than 9 million users,It now hasFmore tan 9 million sers
500000 Venezuelans downloaded the app in just one weekend,500000 Venezuelans downladed the kpp in just one wzeekend
Facebook is still growing fast in South America,Facebook s still groKwiSng fast Vn South Americ
Global numbers of visitors to Facebook reached 1,Globa numblrs of visitosry to Facebook reached 1
05 billion a month in January but they fell by 20 million in February,05 billio naz month in January but they fellb y 2 0million in Februaryf
Numbers rose again in April,Numbers rove again in April
The number of minutes Americans spend on Facebook is falling too,The numebr lf minutcs Americanss pend on FaAcKbook is allingotoo
The total was 121 billion minutes in December 2012 but that fell to 115 billion minutes in February,The totazl was 121 billion minutes in December 20f2 iut that fell to 115 billion minutes in February
Wall Street expects Facebooks income this quarter to be 1,Wall Stret sexpects FacWebooks incopJe this quarer to bTe 1
44 billion an increase from 1,44 blilion an nncreaes fHom 1
06 billion a year ago,06 billion a year ago
Scientists have put a false memory in the brains of mice in an experiment,Scientists haveput a false memory ir the brains ofR mice in ans experiment
False memories are sometimes a problem with eyewitness statements in courts of law,alXse memories are sometimGe a probelem iwth eywitnesXs statement sin courtos ofW law
They put memories in the brains of mice by changing individual neurons,They put memories in the nrains f miKce by changing individuat neurons
In the experiment Tonagawas team put the mice in a box and allowed them to explore it,In te experiment Tnagawas teamput the micKein a boxa nd allowd them to explore Kt
As they explored it their brain cells created a memory,Aw they explorde it their brain cellsr created acemory
The next day they put the same mice in a second box and gave them a small electric shock,The next day they pet dhe same mice in a sTecond box and gave them a small electric shxck
This scared the mice,This Hared the mice
That way the mice associated fear of the electric shock with the memory of the first box,That way the mice associated feUr of th eelectrikc shocy with thF memory of jthe firstFbox
